State;Context
Alabama;Alabama requires annual school safety training and locally developed safety plans with law enforcement involvement under Ala. Code §16-1-44. Schools must hold monthly emergency and semester lockdown drills. Only school resource officers and concealed carry permit holders may possess firearms on campus (Ala. Code §§13A-11-72, 16-1-44.1).
Alaska;Alaska requires districts to provide annual emergency response training and to develop school safety plans with law enforcement involvement under Alaska Stat. Ann. §14.33.100. Schools must conduct monthly emergency drills led by the head of school (§14.03.140). While no school resource officer roles are defined, individuals may possess firearms on campus only with authorization from a district or school's chief administrator (§11.61.210, §18.65.755).
Arizona;Arizona requires local entities to develop school safety plans with law enforcement involvement under Ariz. Rev. Stat. Ann. §15-341, though no statewide training or drill requirements are identified. School resource officers must be certified peace officers as outlined in §§15-154–155, with roles defined locally. Only authorized peace officers or individuals granted permission by school administrators may possess firearms on school grounds (§15-341).
Arkansas;Arkansas requires school safety audits and plans every three years with law enforcement involvement under Ark. Code Ann. §§6-15-1301–1303. Schools must conduct at least one annual lockdown drill. School resource officers, who must be certified law enforcement officers, have powers of arrest and citation authority (§§6-10-128, 16-81-118). Only commissioned security guards and SROs may carry firearms on school grounds (§5-73-119).
California;California requires each school or district to develop and annually update safety plans with law enforcement involvement under Cal. Educ. Code §§32281–32282. Schools must conduct regular drop emergency drills, led by staff members. School security and reserve police officers may carry firearms on campus as authorized by §38001.5, while other employees and concealed carry permit holders are prohibited under Cal. Penal Code §626.9.
North Carolina;North Carolina's Center for Safer Schools oversees statewide safety efforts. Schools must implement annual mental health and suicide prevention training under N.C. Gen. Stat. §115C-376.5 and maintain safety plans developed with law enforcement (§115C-47). Annual tabletop emergency exercises are required (§115C-105.49). Certified School Safety Resource Officers, authorized to carry firearms and exercise arrest powers, must have law enforcement or military experience (§162-26).
South Carolina;South Carolina requires local entities to develop school safety plans and conduct law enforcement–led safety audits under S.C. Code Ann. §59-17-160. Schools must hold multiple annual drills, including active shooter, fire, and severe weather exercises (§59-63-910). School Resource Officers must be sworn law enforcement officers trained in standard police procedures (§§5-7-12, Reg. 43-210). Only guards or law enforcement officers may carry firearms on campus, though administrators may grant limited exceptions (§16-23-420).
Colorado;Colorado's School Safety Resource Center oversees statewide safety coordination. Local entities must develop safety plans and conduct all-hazard, fire, and tabletop drills involving staff under Colo. Rev. Stat. §22-32-109.1. School Resource Officers, authorized to issue citations and make arrests, must complete officer training (§§24-31-312, 24-32-146). Only SROs, peace officers, or contracted security personnel may carry firearms on school grounds (§18-12-105.5).
Connecticut;Connecticut's Center for School Safety and Crisis Prevention oversees school safety efforts statewide. Local entities must develop and annually review safety plans with law enforcement under Conn. Gen. Stat. §§10-222m–10-222n, and conduct biannual safety audits. Schools hold monthly fire drills and quarterly crisis response drills involving police participation (§10-231). School Resource Officers must be sworn law enforcement officers assigned through agreements between schools and police departments (§7-294x). Firearms are generally prohibited in schools, except under specific written agreements with school officials (§53a-217b).
North Dakota;North Dakota does not have a designated state-level school safety office or statutory requirements for safety plans or staff training. Schools must conduct emergency drills under N.D. Cent. Code §15.1-06-12, though frequency and law enforcement involvement are unspecified. Law enforcement officers and on-duty school security personnel may carry firearms on campus, and the superintendent may approve local participation in the Armed First Instructor program allowing designated individuals to be armed in schools (§§62.1-02-05, 62.1-02-14).
South Dakota;South Dakota maintains a structured school safety system through the South Dakota School Safety Center, requiring teacher training on evacuation duties (S.D. Codified Laws §13-25-10). Law enforcement agencies conduct school safety audits every two years (§13-25-4), and schools must develop safety plans and perform regular fire and disaster drills (S.D. Admin. R. 24:43:09:01). The state's School Sentinel Program authorizes trained school employees or hired security personnel to carry firearms on campus, under local school board supervision (§13-64-1)
Delaware;Delaware's Comprehensive School Safety Program oversees K-12 safety, requiring schools to develop safety plans with law enforcement involvement and updates as needed (Del. Code Ann. tit. 29, § 8237). Schools must conduct lockdown or intruder drills twice a year and a tabletop exercise annually, managed by the school safety team with law enforcement participation. School Resource Officers are authorized, with training in conflict resolution and working with students with disabilities (Del. Code Ann. tit. 14, § 4112F). Law enforcement or private security officers may carry firearms on campus, but other employees and concealed carry permit holders are not authorized (Del. Code Ann. tit. 11, § 1457).
Florida;Florida's Office of Safe Schools requires staff training on safety, mental health, and emergency procedures (Fla. Stat. § 1006.07). Schools conduct annual audits and yearly drills, led by law enforcement or the safety team. SROs, safety officers, guardians, and security guards may carry firearms on duty; other employees may not (Fla. Stat. § 1006.12; § 30.15).
Georgia;Georgia's Center for School Safety requires teacher and staff training on security, threat assessment, mental health, and emergency planning (Ga. Code § 20-2-1185). Schools must conduct safety audits and maintain annual safety plans with local law enforcement involvement. School Resource Officers may carry firearms, with other employees only allowed if specifically authorized (Ga. Code § 16-11-127.1).
Hawaii;Hawaii has no state-level school safety entity or required training for staff, and there are no mandated safety audits, drills, or school safety plans. The only school-level safety position identified is a School Security Attendant (Haw. Rev. Stat. § 88-21), but training, roles, and firearm permissions are not specified in statute or regulations.
Idaho;Idaho's School Safety and Security Program and Advisory Board oversees school safety (Idaho Code Ann. §§33-5904, 33-5905). Annual safety audits are required, but training, safety plans, and law enforcement involvement are not specified. Schools must hold evacuation drills (Idaho Admin. Code r. 08.02.03.160). No SROs are defined. Authorized personnel, including certain employees and permit holders, may carry firearms on school property (Idaho Code Ann. §§18-3302C, 18-3302D).
Illinois;Illinois' Educational Safety and Security Center oversees school safety. Schools must develop and annually review safety plans and hold law enforcement, evacuation, and severe weather drills (105 Ill. Comp. Stat. Ann. 128). School Resource Officers must be law enforcement officers trained in adolescent development and mental health. Only law enforcement or security officers may carry firearms on school property (720 Ill. Comp. Stat. Ann. 5/24-1).
Indiana;Indiana's School Safety Hub oversees school safety. Schools must develop and annually review plans with law enforcement and hold monthly fire, annual active shooter, and semester tornado/disaster drills. School Resource Officers must be law enforcement officers with arrest and search powers. SROs and authorized individuals may carry firearms on school property (Ind. Code Ann. §§20-26-18.2, 20-34-3-20, 35-47-9-1).
Iowa;Iowa has no state-level school safety entity. Schools must develop and annually review safety plans with law enforcement, including alerts and emergency procedures (Iowa Code Ann. §280.30). Required drills include annual safety plan drills, and four annual fire and tornado drills, led by the district board (Iowa Code Ann. §§280.30, 100.31). No school-level safety positions are defined. Only individuals specifically authorized by the school may carry firearms on school property (Iowa Code Ann. §724.4B).
Kansas;Kansas has no state-level school safety entity. Schools must hold three annual crisis drills, four fire drills, and two tornado drills, led by the head of school (Kan. Stat. Ann. §31-133). School Resource Officers must be law enforcement officers, and School Security Officers may be non-sworn personnel; both have full law enforcement powers (Kan. Stat. Ann. §§72-6152, 72-6146). Firearms may be carried by authorized employees with board approval or by concealed carry permit holders (Kan. Stat. Ann. §§75-7c10, 21-6301(a)(11)).
Kentucky;Kentucky's Center for School Safety oversees school safety. Schools must develop and annually review plans with law enforcement and hold two annual lockdown, severe weather, and tornado drills. SROs must be sworn officers trained in conflict resolution and mental health. SROs and board-authorized individuals may carry firearms (Ky. Rev. Stat. Ann. §§158.162, 158.441, 158.4414, 527.070).
Louisiana;Louisiana's Center for Safe Schools oversees safety. Schools must develop and annually review plans with law enforcement and hold one annual safety plan drill (La. Rev. Stat. Ann. 17:416.16). SROs must be peace officers with officer training (La. Rev. Stat. Ann. 17:416.19). Authorized employees or those with principal permission may carry firearms (La. Rev. Stat. Ann. §14:95.2).
Maine;Maine's School Safety Center oversees safety. Schools must develop and annually review plans with law enforcement, including emergency response procedures (Me. Rev. Stat. tit. 20-A, §§1001, 6557). Evacuation and lockdown drills are required, led by staff (Code Me. R. tit. 05-071 Ch. 125, §5.17). SROs must be law enforcement officers. Firearms are not permitted for school personnel or students (Me. Rev. Stat. tit. 20-A, §6552).
Maryland;Maryland's Center for School Safety oversees safety. Schools must conduct regular audits and develop plans with law enforcement (Md. Code Ann., Educ. §§7-1502, 7-1510). Annual drills include evacuation, lockdown, shelter-in-place, and severe weather. SROs must be law enforcement; only designated security personnel may carry firearms (Md. Code Ann., Educ. §§7-1501, 7-1508; Crim. Law §4-102).
Massachusetts;Massachusetts has no state-level safety entity. Schools must develop and annually review safety plans with law enforcement, covering alerts, emergency procedures, and school safety teams. SROs must be sworn municipal or special police officers trained in adolescent development and conflict resolution. SROs and board-authorized individuals may carry firearms (Mass. Gen. Laws Ann. 71 §37P, ch. 269 §10).
Michigan;In general, the State of Michigan requires permits to carry firearms, but these are typically obtained through straightforward and brief processes. Regarding school zones, carrying weapons is completely prohibited, and expulsion is enforced if a student is caught with a firearm on school grounds. The 2018 peak can be explained by collective paranoia following the 2018 Parkland, Florida shooting, which led to an increase in reports that year. Afterwards, Michigan maintains a fairly constant trend until the Oxford High School massacre in 2021, which led to strengthened state laws and an increase in reports.
Minnesota;Minnesota generally experiences isolated incidents. Its firearm regulations include mandatory permits for both concealed and open carry, as well as disciplinary measures for students caught with a weapon on school property (not necessarily expulsion). However, a considerable rise is seen in 2021, which cannot be attributed to a specific event but rather to behavioral effects from the pandemic and the return to normal life with its accompanying restrictions.
Mississippi;Before 2016, Mississippi required a permit to carry firearms. This restriction led to higher reporting rates. However, in 2016 the requirement was removed, and since then no permit is needed, resulting in fewer reports since it's no longer regulated. Since 2021, with the return to in-person schooling, incidents have increased due to behavioral changes following lockdowns and pandemic restrictions. Additionally, Mississippi is a red (conservative) state, meaning it tends to support free gun carrying as part of the Second Amendment.
Missouri;Missouri has no notable policies or political trends that explain its low rate of students carrying firearms. Restrictions on carrying guns were removed in 2016, and firearms can be freely purchased in most districts. Overall, there are no significant increases or decreases over the years, maintaining a consistently low level.
Montana;Montana is a rural state sustained by agriculture and livestock. It is also heavily influenced by politics, being strongly Republican, aligning with the general conservative view of local society. Firearms are part of daily life through sports or regular activities, so most households have guns. This culture is reflected in the consistently high rates. In 2021, after the return to in-person classes, incidents increased again.
Nebraska;Nebraska is a rural and conservative state, where gun ownership is part of the culture, indirectly giving students access. Additionally, it has a small student population, so isolated events weigh more heavily in statistics relative to population size. There is no major information about incidents that could explain rises or drops in the analyzed period.
Nevada;Nevada has regulations regarding gun ownership, specifically requiring state-issued permits for public carry, although such permits are easy to obtain if minimum age requirements are met. There is no information on local incidents to explain rises and drops over time. The increase in 2021 is due to the return to in-person schooling after the pandemic.
New Hampshire;A small state in the northeastern U.S., New Hampshire lacks a strong political trend or gun culture. However, firearm acquisition is lightly regulated, and concealed carry faces few restrictions. The rises in 2013 and 2017 may be due to isolated incidents that appear statistically significant due to the small population. There is no further information influencing this aspect.
New Jersey;New Jersey is an urban, densely populated state with a low gun culture, reflected in consistent regulations on both use and acquisition. These factors result in a low, stable rate over time, without significant fluctuations.
New Mexico;New Mexico has a strong gun culture in rural areas, although there are restrictions requiring permits to carry firearms. Between 2011 and 2014, there was a significant drop in crime rates, possibly explaining a decrease during that period. However, since 2014, several shootings occurred (e.g., Berrendo Middle School, 2014; Aztec High School, 2016), possibly leading to a general rise in reports. The drop in 2020 is attributed to the pandemic, while the subsequent rise after returning to in-person classes may be linked to students' mental health after confinement and the ease of obtaining weapons.
New York;New York has strict regulations on acquiring and carrying firearms. Since the NY SAFE Act (2013), gun use has been heavily regulated, and new government initiatives have improved school safety (e.g., installing cameras). Additionally, NY has a dedicated school safety force, the NYPD School Safety Division. These factors explain the state's overall low rates. The small peak in 2017–2018 could be due to nationwide shootings like Parkland (2018), which raised awareness and detection.
Ohio;Ohio imposes restrictions on firearm use, though obtaining carry permits is not difficult. Small increases are linked to national events like the Sandy Hook massacre (2012) and the implementation of the national FASTER program (Faculty/Administrator Safety Training & Emergency Response) between 2014 and 2017, which exposed students more to firearms. The 2021 rise can be explained by population-wide mental health issues due to pandemic restrictions and confinement.
Oklahoma;Rates in Oklahoma remain within a consistent range, likely due to mild but existing restrictions. The state is strongly pro-gun, with most households owning at least one firearm. There are no remarkable events during this period that influenced this issue.
Oregon;In 2013, Oregon banned carrying loaded firearms in public, following a Portland-led initiative from 2010. In 2015, background checks were expanded for firearm purchases. These measures were driven by growing divisions over gun regulation. Since 2020, private gun purchases have increased, and combined with the pandemic, this likely explains the 2021 rise.
Pennsylvania;Pennsylvania allows concealed carry with a license (easy to obtain) and requires background checks for any firearm purchase. The state's rates have remained relatively low. Incidents like Sandy Hook and Parkland encouraged calls for more regulation, but these proposals did not pass in Pennsylvania.
Rhode Island;Rhode Island is the smallest U.S. state, so isolated cases have a strong impact on statistics. It enforces strict regulations such as background checks, mandatory permits for concealed weapons, bans on large firearms, and rifle restrictions. There are no notable legislative or social events explaining peaks or drops during the analyzed timeframe.
Tennessee;Tennessee requires permits for concealed carry. There are no major state-level events explaining rate changes. However, it's possible that after attacks such as the 2015 Chattanooga shooting, regulations became stricter, increasing detection of firearms in schools. Rates dropped significantly during the pandemic (2020) and rose again after in-person classes resumed, likely due to mental health issues caused by confinement.
Texas;Texas is one of the most permissive states regarding firearm use and acquisition. Given its predominantly Republican stance, regulations are relatively lax. A key event was the 2018 Santa Fe High School shooting, which killed ten people. Despite this, local gun laws were not tightened, and the effect on rates that year was minimal. Its generally low rates may also be due to its large student population, which dilutes isolated incidents statistically, and its strong gun culture that normalizes firearm presence.
Utah;A predominantly Mormon and Republican state with a strong gun culture. Fluctuations in rates may result from inconsistent data rather than state-specific trends. Notably high rates in 2013 and 2018 could be linked to policies allowing school staff to carry guns since 2004 and several student firearm incidents (e.g., West High School, 2018). In 2021, following the permitless carry law, Salt Lake City police reported record gun confiscations from youth (SLCPD Annual Report 2021).
Vermont;Vermont allows gun carry without a license but restricts purchases through background checks and raised the minimum buying age to 21. Firearms are banned on school property. Rate increases may be explained by the small state size, where isolated incidents significantly affect statistics.
Virginia;Virginia requires a permit for concealed carry, though it's easy to obtain. Rates remain stable over time despite multiple mass shootings, such as Virginia Beach in 2019. The effects of such events may have been delayed by the pandemic, leading to higher firearm detections in 2021 upon returning to in-person learning.
West Virginia;Like other states, West Virginia required a concealed carry permit until 2016, when the restriction was revoked. The state's strong gun culture is reflected in high household gun ownership. The 2013–2016 increase, however, has another explanation: in 2013, the state changed how information was collected for the NCES, causing reported numbers to spike during that period and drop afterward (WVDE, 2015).
Washington;Washington enforces stricter regulations for firearm possession and acquisition, meaning permits are harder to obtain. Several school shootings have occurred, including the Marysville Pilchuck High School shooting (2014). Overall, rates have remained relatively stable without notable increases or decreases.
Wisconsin;Gun-carrying laws are relatively permissive in Wisconsin, though firearms are completely banned in school zones except for certain staff exceptions. There is also a requirement to report any firearm possession on school grounds. There's no clear legislative or incident-based explanation for fluctuations in rates during the analyzed period.
Wyoming;Wyoming is a small state, so isolated cases heavily impact rates. Between 2015 and 2016, it implemented a new security system (K-12 School Security Remedy Guide), which may have increased reported cases since gun ownership laws are very relaxed (concealed carry without a permit allowed since 2011). Wyoming is also strongly pro-gun, with most households owning firearms, making students more familiar with and susceptible to using them.
