Año,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1991,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1992,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1993,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1994,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1995,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1996,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1997,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1998,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
1999,721806,113903,639853,436286,4950474,574213,469123,99658,80694,1861592,1151687,171708,220840,1821407,954525,483652,437034,636401,784757,215149,715176,834314,1584431,756374,502417,816558,152974,274081,201316,172785,1089646,301881,2598337,1086871,117825,1771089,579087,472394,1667834,138813,622112,129164,824595,3382887,446652,95762,998601,839709,322389,797621,98226
