Año,Alaska,Alabama,Arizona,Arkansas,California,North Carolina,South Carolina,Colorado,Connecticut,North Dakota,South Dakota,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Jersey,New York,New Hampshire,New Mexico,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Washington,Wisconsin,Wyoming,DC
2024,"732,673","5,157,699","7,582,384","3,088,354","39,431,263","11,046,024","5,478,831","5,957,493","3,675,069","796,568","924,669","1,051,917","23,372,215","11,180,878","1,441,553","2,001,619","12,710,158","6,924,275","3,241,488","2,970,606","4,588,372","4,597,740","1,405,012","6,263,220","7,136,171","10,140,459","5,793,151","2,943,045","6,245,466","1,137,233","2,005,465","3,267,467","9,500,851","19,867,248","1,409,032","2,130,256","11,883,304","4,095,393","4,272,371","13,078,751","1,112,308","7,227,750","31,290,831","3,503,613","648,493","8,811,195","1,769,979","7,958,180","5,960,975","587,618","702,250"
2023,"732,673","5,117,673","7,473,027","3,069,463","39,198,693","10,881,189","5,387,830","5,901,339","3,643,023","789,047","918,305","1,036,423","22,904,868","11,064,432","1,441,553","1,971,122","12,642,259","6,880,131","3,218,414","2,951,500","4,550,595","4,588,071","1,399,646","6,217,062","7,066,568","10,083,356","5,753,048","2,943,172","6,208,038","1,131,302","1,987,864","3,214,363","9,379,642","19,737,367","1,402,199","2,121,164","11,824,034","4,063,882","4,253,653","13,017,721","1,103,429","7,148,304","30,727,890","3,443,222","648,708","8,734,685","1,770,495","7,857,320","5,930,405","585,067","687,324"
2022,"732,673","5,076,181","7,377,566","3,047,704","39,142,414","10,710,793","5,287,935","5,850,935","3,617,925","781,057","909,723","1,020,625","22,379,312","10,931,805","1,441,553","1,944,299","12,621,821","6,844,545","3,202,820","2,937,324","4,519,233","4,593,687","1,390,922","6,192,440","7,022,468","10,050,877","5,721,621","2,941,939","6,179,414","1,122,095","1,972,246","3,176,116","9,295,227","19,703,747","1,396,678","2,113,868","11,777,874","4,026,229","4,247,372","12,984,990","1,099,498","7,062,217","30,113,488","3,391,011","648,142","8,683,414","1,774,122","7,794,123","5,903,975","581,978","676,725"
2021,"732,673","5,049,196","7,274,078","3,026,870","39,142,565","10,564,320","5,194,274","5,814,036","3,606,607","777,966","896,492","1,005,062","21,831,949","10,792,060","1,441,553","1,904,848","12,700,641","6,815,907","3,198,613","2,938,338","4,507,583","4,627,971","1,378,931","6,179,403","7,000,474","10,041,351","5,718,660","2,947,209","6,171,374","1,106,522","1,964,537","3,148,141","9,270,541","19,848,276","1,387,677","2,117,333","11,767,344","3,992,238","4,254,280","13,015,571","1,097,246","6,965,740","29,570,351","3,339,738","647,210","8,658,910","1,785,618","7,743,760","5,881,608","579,636","669,256"
2020,"732,441","5,033,094","7,187,135","3,014,546","39,521,958","10,449,652","5,132,249","5,787,129","3,579,918","779,563","887,948","991,928","21,592,035","10,732,888","1,451,911","1,849,415","12,799,088","6,790,497","3,191,141","2,938,172","4,508,318","4,652,301","1,364,571","6,177,935","6,994,598","10,072,703","5,710,735","2,958,536","6,154,744","1,087,230","1,963,387","3,116,967","9,272,794","20,105,171","1,378,756","2,118,606","11,798,905","3,965,415","4,243,779","12,996,143","1,096,530","6,927,904","29,239,570","3,284,077","642,977","8,637,615","1,791,646","7,727,209","5,897,375","577,681","670,917"
2019,"734,823","5,003,778","7,067,695","3,004,206","39,547,995","10,369,657","5,076,874","5,735,797","3,607,133","776,548","882,486","981,340","21,353,320","10,643,103","1,457,034","1,808,378","12,849,440","6,761,818","3,183,858","2,933,756","4,498,163","4,664,544","1,357,523","6,163,769","7,016,781","10,078,126","5,686,910","2,969,008","6,143,374","1,075,495","1,954,962","3,068,665","9,259,376","20,220,321","1,371,857","2,110,180","11,788,679","3,943,727","4,215,959","12,991,539","1,094,580","6,862,615","28,856,455","3,233,028","641,847","8,597,508","1,800,441","7,638,923","5,880,280","575,327","705,749"
2018,"737,717","4,977,088","6,964,300","2,997,195","39,535,920","10,273,864","5,019,607","5,676,918","3,611,229","771,499","875,247","971,152","21,131,181","10,532,841","1,460,183","1,769,305","12,887,397","6,725,960","3,171,540","2,931,587","4,487,302","4,670,033","1,350,606","6,139,211","6,994,446","10,070,532","5,650,556","2,974,657","6,128,572","1,066,610","1,945,483","3,011,007","9,220,072","20,219,472","1,364,941","2,103,161","11,763,104","3,928,371","4,183,398","12,980,946","1,091,824","6,806,981","28,508,309","3,181,595","640,680","8,547,370","1,810,572","7,549,002","5,859,000","574,783","701,547"
2017,"741,949","4,953,096","6,872,380","2,990,702","39,424,315","10,172,498","4,963,742","5,599,635","3,607,550","766,807","870,094","961,604","20,868,335","10,428,854","1,458,361","1,734,888","12,922,894","6,686,218","3,162,752","2,927,448","4,475,829","4,678,580","1,344,956","6,113,486","6,959,114","10,049,914","5,606,013","2,983,448","6,113,654","1,058,073","1,934,551","2,954,768","9,176,713","20,187,407","1,359,076","2,101,111","11,737,959","3,920,316","4,147,171","12,945,701","1,085,105","6,740,060","28,188,852","3,126,779","639,087","8,503,046","1,822,742","7,447,469","5,836,809","576,240","694,906"
2016,"743,410","4,931,579","6,793,278","2,980,475","39,223,789","10,072,775","4,908,404","5,528,510","3,607,614","764,781","860,557","953,146","20,533,473","10,318,636","1,457,008","1,697,093","12,944,999","6,658,719","3,149,607","2,927,251","4,457,755","4,685,576","1,340,292","6,080,556","6,909,664","10,017,194","5,557,028","2,984,364","6,093,343","1,045,768","1,921,616","2,904,614","9,122,374","20,148,134","1,351,178","2,099,682","11,702,354","3,916,688","4,093,165","12,918,673","1,082,431","6,673,101","27,825,975","3,064,277","636,397","8,445,270","1,835,935","7,316,788","5,812,814","582,007","685,815"
2015,"739,127","4,909,177","6,705,607","2,970,210","38,966,939","9,962,464","4,850,136","5,441,452","3,611,891","762,814","852,029","944,716","20,140,379","10,191,912","1,446,479","1,663,458","12,963,110","6,628,925","3,136,310","2,922,703","4,443,778","4,670,550","1,335,768","6,050,280","6,866,661","9,987,448","5,510,593","2,985,000","6,077,056","1,034,544","1,904,766","2,855,986","9,079,218","20,087,023","1,343,764","2,096,056","11,674,622","3,900,900","4,018,453","12,899,169","1,077,555","6,613,679","27,394,564","3,000,449","635,912","8,390,494","1,846,270","7,181,417","5,794,536","583,671","675,400"
2014,"737,638","4,887,757","6,629,890","2,961,050","38,637,421","9,876,774","4,789,723","5,342,212","3,614,584","744,628","847,538","935,278","19,790,139","10,078,133","1,434,212","1,641,124","12,968,905","6,610,174","3,121,790","2,911,564","4,428,854","4,648,813","1,336,617","6,010,059","6,820,869","9,974,914","5,474,193","2,987,656","6,060,462","1,025,126","1,890,242","2,808,779","9,036,406","20,001,317","1,339,344","2,095,081","11,648,921","3,871,400","3,965,375","12,880,907","1,073,245","6,559,452","26,903,208","2,951,948","633,872","8,334,206","1,852,948","7,068,971","5,778,789","580,959","662,328"
2013,"738,057","4,865,253","6,555,926","2,954,563","38,292,557","9,800,429","4,738,067","5,262,801","3,610,238","727,655","841,120","925,704","19,502,928","9,980,892","1,423,171","1,618,841","12,959,880","6,581,401","3,102,460","2,901,727","4,415,978","4,628,239","1,332,673","5,963,434","6,757,991","9,947,598","5,431,187","2,986,599","6,044,008","1,016,046","1,873,681","2,769,188","8,987,175","19,892,558","1,331,163","2,096,538","11,612,081","3,847,936","3,924,055","12,847,236","1,068,358","6,508,290","26,433,846","2,909,190","632,859","8,270,221","1,856,588","6,975,001","5,757,584","580,937","650,581"
2012,"731,106","4,839,947","6,501,800","2,948,793","37,971,412","9,719,755","4,699,358","5,188,139","3,605,215","705,347","832,730","916,654","19,268,256","9,907,250","1,405,024","1,600,611","12,927,420","6,546,485","3,082,748","2,891,164","4,394,147","4,603,590","1,330,954","5,914,854","6,693,932","9,921,001","5,388,902","2,982,356","6,026,733","1,005,475","1,859,140","2,739,290","8,935,248","19,758,616","1,327,372","2,090,282","11,573,400","3,815,196","3,900,064","12,816,003","1,063,756","6,463,610","26,052,403","2,861,360","630,693","8,197,400","1,858,706","6,904,658","5,734,379","575,491","634,924"
